,Coût,Nom,Quantité,Taux de victoire,Nombre de parties,Date
98,4,Thassarian,1,57.39,1116,3/31/2023 10:59 
99,6,Marrow Manipulator,2,57.39,1116,3/31/2023 10:59 
100,6,Overseer Frigidara,1,57.39,1116,3/31/2023 10:59 
101,7,Frostwyrm's Fury,2,57.39,1116,3/31/2023 10:59 
102,1,Relic of Extinction,2,57.11,1542,3/31/2023 10:59 
103,1,Sigil of Alacrity,2,57.11,1542,3/31/2023 10:59 
104,1,Unleash Fel,2,57.11,1542,3/31/2023 10:59 
105,2,Bloodmage Thalnos,1,57.11,1542,3/31/2023 10:59 
106,2,Chaos Strike,2,57.11,1542,3/31/2023 10:59 
107,2,Fel Barrage,2,57.11,1542,3/31/2023 10:59 
108,2,Relic Vault,2,57.11,1542,3/31/2023 10:59 
109,3,Brann Bronzebeard,1,57.11,1542,3/31/2023 10:59 
110,3,Lady S'theno,1,57.11,1542,3/31/2023 10:59 
111,3,Nerubian Vizier,2,57.11,1542,3/31/2023 10:59 
112,3,Predation,2,57.11,1542,3/31/2023 10:59 
113,3,Relic of Phantasms,2,57.11,1542,3/31/2023 10:59 
114,4,Guild Trader,2,57.11,1542,3/31/2023 10:59 
115,4,School Teacher,2,57.11,1542,3/31/2023 10:59 
116,6,"Kurtrus, Demon-Render",1,57.11,1542,3/31/2023 10:59 
117,6,Relic of Dimensions,2,57.11,1542,3/31/2023 10:59 
118,8,Artificer Xy'mox,1,57.11,1542,3/31/2023 10:59 
119,8,Jace Darkweaver,1,57.11,1542,3/31/2023 10:59 
120,0,Undying Allies,2,56.86,313,3/31/2023 10:59 
121,1,Animate Dead,2,56.86,313,3/31/2023 10:59 
122,1,Mind Sear,2,56.86,313,3/31/2023 10:59 
123,1,Shadowcloth Needle,2,56.86,313,3/31/2023 10:59 
124,1,Voidtouched Attendant,2,56.86,313,3/31/2023 10:59 
125,1,Whispers of the Deep,2,56.86,313,3/31/2023 10:59 
126,2,Astalor Bloodsworn,1,56.86,313,3/31/2023 10:59 
127,2,Incorporeal Corporal,2,56.86,313,3/31/2023 10:59 
128,3,Brittleskin Zombie,2,56.86,313,3/31/2023 10:59 
129,3,Cathedral of Atonement,2,56.86,313,3/31/2023 10:59 
130,3,Haunting Nightmare,2,56.86,313,3/31/2023 10:59 
131,3,Shadowed Spirit,2,56.86,313,3/31/2023 10:59 
132,4,Grave Digging,2,56.86,313,3/31/2023 10:59 
133,4,High Cultist Basaleph,1,56.86,313,3/31/2023 10:59 
134,4,Najak Hexxen,1,56.86,313,3/31/2023 10:59 
135,5,Darkbishop Benedictus,1,56.86,313,3/31/2023 10:59 
136,5,Shadow Word: Undeath,2,56.86,313,3/31/2023 10:59 
137,0,Undying Allies,2,56.66,531,3/31/2023 10:59 
138,1,Animate Dead,2,56.66,531,3/31/2023 10:59 
139,1,Mind Sear,2,56.66,531,3/31/2023 10:59 
140,1,Shadowcloth Needle,2,56.66,531,3/31/2023 10:59 
141,1,Voidtouched Attendant,2,56.66,531,3/31/2023 10:59 
142,1,Whispers of the Deep,2,56.66,531,3/31/2023 10:59 
143,2,Astalor Bloodsworn,1,56.66,531,3/31/2023 10:59 
144,2,Incorporeal Corporal,2,56.66,531,3/31/2023 10:59 
145,3,Cathedral of Atonement,2,56.66,531,3/31/2023 10:59 
146,3,Haunting Nightmare,2,56.66,531,3/31/2023 10:59 
147,3,Shadowed Spirit,2,56.66,531,3/31/2023 10:59 
148,4,Bonecaller,2,56.66,531,3/31/2023 10:59 
149,4,Grave Digging,2,56.66,531,3/31/2023 10:59 
150,4,High Cultist Basaleph,1,56.66,531,3/31/2023 10:59 
151,4,Najak Hexxen,1,56.66,531,3/31/2023 10:59 
152,5,Darkbishop Benedictus,1,56.66,531,3/31/2023 10:59 
153,5,Shadow Word: Undeath,2,56.66,531,3/31/2023 10:59 
154,1,Flame Imp,2,56.6,392,3/31/2023 10:59 
155,1,Flustered Librarian,2,56.6,392,3/31/2023 10:59 
156,1,Grimoire of Sacrifice,2,56.6,392,3/31/2023 10:59 
157,1,Voidwalker,2,56.6,392,3/31/2023 10:59 
158,1,Wicked Shipment,2,56.6,392,3/31/2023 10:59 
159,2,Imp Swarm (Rank 1),2,56.6,392,3/31/2023 10:59 
160,2,Impending Catastrophe,2,56.6,392,3/31/2023 10:59 
161,2,Nofin's Imp-ossible,2,56.6,392,3/31/2023 10:59 
162,2,Vile Library,2,56.6,392,3/31/2023 10:59 
163,3,Fiendish Circle,2,56.6,392,3/31/2023 10:59 
164,3,Imp Gang Boss,2,56.6,392,3/31/2023 10:59 
165,4,Mischievous Imp,2,56.6,392,3/31/2023 10:59 
166,4,Murlocula,1,56.6,392,3/31/2023 10:59 
167,5,Shady Bartender,2,56.6,392,3/31/2023 10:59 
168,6,Dreadlich Tamsin,1,56.6,392,3/31/2023 10:59 
169,6,Imp King Rafaam,1,56.6,392,3/31/2023 10:59 
170,6,"Sylvanas, the Accused",1,56.6,392,3/31/2023 10:59 
171,1,Knight of Anointment,2,56.51,1164,3/31/2023 10:59 
172,1,Righteous Protector,2,56.51,1164,3/31/2023 10:59 
173,1,Sanguine Soldier,2,56.51,1164,3/31/2023 10:59 
174,1,Sinful Sous Chef,2,56.51,1164,3/31/2023 10:59 
175,2,Battle Vicar,1,56.51,1164,3/31/2023 10:59 
176,2,Blood Matriarch Liadrin,1,56.51,1164,3/31/2023 10:59 
177,2,Class Action Lawyer,2,56.51,1164,3/31/2023 10:59 
178,2,For Quel'Thalas!,2,56.51,1164,3/31/2023 10:59 
179,2,Order in the Court,2,56.51,1164,3/31/2023 10:59 
180,2,Seafloor Savior,2,56.51,1164,3/31/2023 10:59 
181,3,Alliance Bannerman,2,56.51,1164,3/31/2023 10:59 
182,3,Seal of Blood,2,56.51,1164,3/31/2023 10:59 
183,3,Stonehearth Vindicator,2,56.51,1164,3/31/2023 10:59 
184,4,Cariel Roame,1,56.51,1164,3/31/2023 10:59 
185,5,The Purator,1,56.51,1164,3/31/2023 10:59 
186,6,Blood Crusader,1,56.51,1164,3/31/2023 10:59 
187,7,The Countess,1,56.51,1164,3/31/2023 10:59 
188,9,Lightray,2,56.51,1164,3/31/2023 10:59 
189,0,Flurry (Rank 1),2,56.51,1637,3/31/2023 10:59 
190,1,Arcane Wyrm,2,56.51,1637,3/31/2023 10:59 
191,1,Irondeep Trogg,2,56.51,1637,3/31/2023 10:59 
192,1,Shivering Sorceress,2,56.51,1637,3/31/2023 10:59 
193,1,Suspicious Alchemist,2,56.51,1637,3/31/2023 10:59 
194,2,Amplified Snowflurry,2,56.51,1637,3/31/2023 10:59 
195,2,Astalor Bloodsworn,1,56.51,1637,3/31/2023 10:59 
196,2,Bloodmage Thalnos,1,56.51,1637,3/31/2023 10:59 
197,2,Frozen Touch,2,56.51,1637,3/31/2023 10:59 
198,2,Prismatic Elemental,2,56.51,1637,3/31/2023 10:59 
199,3,Arcsplitter,2,56.51,1637,3/31/2023 10:59 
200,3,Frostweave Dungeoneer,2,56.51,1637,3/31/2023 10:59 
201,3,Nightcloak Sanctum,2,56.51,1637,3/31/2023 10:59 
202,4,Cold Case,2,56.51,1637,3/31/2023 10:59 
203,4,Commander Sivara,1,56.51,1637,3/31/2023 10:59 
204,5,"Aegwynn, the Guardian",1,56.51,1637,3/31/2023 10:59 
205,6,Deathborne,2,56.51,1637,3/31/2023 10:59 
206,1,Pelican Diver,1,55.75,322,3/31/2023 10:59 
207,2,Amplified Snowflurry,2,55.75,322,3/31/2023 10:59 
208,2,Astalor Bloodsworn,1,55.75,322,3/31/2023 10:59 
209,2,Far Watch Post,2,55.75,322,3/31/2023 10:59 
210,2,Mailbox Dancer,2,55.75,322,3/31/2023 10:59 
211,3,Brann Bronzebeard,1,55.75,322,3/31/2023 10:59 
212,3,Nightcloak Sanctum,2,55.75,322,3/31/2023 10:59 
213,4,Blademaster Okani,1,55.75,322,3/31/2023 10:59 
214,4,Deepwater Evoker,2,55.75,322,3/31/2023 10:59 
215,4,Reckless Apprentice,2,55.75,322,3/31/2023 10:59 
216,4,School Teacher,2,55.75,322,3/31/2023 10:59 
217,4,Varden Dawngrasp,1,55.75,322,3/31/2023 10:59 
218,6,Balinda Stonehearth,1,55.75,322,3/31/2023 10:59 
219,6,Barbaric Sorceress,2,55.75,322,3/31/2023 10:59 
220,6,Grey Sage Parrot,2,55.75,322,3/31/2023 10:59 
221,7,Magister Dawngrasp,1,55.75,322,3/31/2023 10:59 
222,8,Mordresh Fire Eye,1,55.75,322,3/31/2023 10:59 
223,9,Rune of the Archmage,2,55.75,322,3/31/2023 10:59 
224,10,Drakefire Amulet,2,55.75,322,3/31/2023 10:59 
225,0,Undying Allies,2,55.64,595,3/31/2023 10:59 
226,1,Animate Dead,2,55.64,595,3/31/2023 10:59 
227,1,Shadowcloth Needle,2,55.64,595,3/31/2023 10:59 
228,1,Voidtouched Attendant,2,55.64,595,3/31/2023 10:59 
229,1,Whispers of the Deep,1,55.64,595,3/31/2023 10:59 
230,2,Astalor Bloodsworn,1,55.64,595,3/31/2023 10:59 
231,2,Incorporeal Corporal,2,55.64,595,3/31/2023 10:59 
232,3,Brittleskin Zombie,2,55.64,595,3/31/2023 10:59 
233,3,Cathedral of Atonement,2,55.64,595,3/31/2023 10:59 
234,3,Haunting Nightmare,2,55.64,595,3/31/2023 10:59 
235,3,Shadowed Spirit,2,55.64,595,3/31/2023 10:59 
236,4,Bonecaller,2,55.64,595,3/31/2023 10:59 
237,4,Grave Digging,2,55.64,595,3/31/2023 10:59 
238,4,High Cultist Basaleph,1,55.64,595,3/31/2023 10:59 
239,4,Void Shard,2,55.64,595,3/31/2023 10:59 
240,5,Darkbishop Benedictus,1,55.64,595,3/31/2023 10:59 
241,5,Shadow Word: Undeath,2,55.64,595,3/31/2023 10:59 
242,1,Knight of Anointment,2,55.62,213,3/31/2023 10:59 
243,1,Righteous Protector,2,55.62,213,3/31/2023 10:59 
244,1,Sanguine Soldier,2,55.62,213,3/31/2023 10:59 
245,1,Sinful Sous Chef,2,55.62,213,3/31/2023 10:59 
246,2,Blood Matriarch Liadrin,1,55.62,213,3/31/2023 10:59 
247,2,Class Action Lawyer,2,55.62,213,3/31/2023 10:59 
248,2,For Quel'Thalas!,2,55.62,213,3/31/2023 10:59 
249,2,Kotori Lightblade,1,55.62,213,3/31/2023 10:59 
250,2,Order in the Court,2,55.62,213,3/31/2023 10:59 
251,2,Seafloor Savior,2,55.62,213,3/31/2023 10:59 
252,3,Alliance Bannerman,2,55.62,213,3/31/2023 10:59 
253,3,Seal of Blood,2,55.62,213,3/31/2023 10:59 
254,3,Stonehearth Vindicator,2,55.62,213,3/31/2023 10:59 
255,4,Cariel Roame,1,55.62,213,3/31/2023 10:59 
256,5,The Purator,1,55.62,213,3/31/2023 10:59 
257,6,Blood Crusader,1,55.62,213,3/31/2023 10:59 
258,7,The Countess,1,55.62,213,3/31/2023 10:59 
259,9,Lightray,2,55.62,213,3/31/2023 10:59 
260,1,Pelican Diver,2,55.44,922,3/31/2023 10:59 
261,2,Amplified Snowflurry,2,55.44,922,3/31/2023 10:59 
262,2,Far Watch Post,2,55.44,922,3/31/2023 10:59 
263,2,Mailbox Dancer,2,55.44,922,3/31/2023 10:59 
264,3,Brann Bronzebeard,1,55.44,922,3/31/2023 10:59 
265,3,Nightcloak Sanctum,2,55.44,922,3/31/2023 10:59 
266,4,Blademaster Okani,1,55.44,922,3/31/2023 10:59 
267,4,Deepwater Evoker,2,55.44,922,3/31/2023 10:59 
268,4,Reckless Apprentice,2,55.44,922,3/31/2023 10:59 
269,4,School Teacher,2,55.44,922,3/31/2023 10:59 
270,4,Varden Dawngrasp,1,55.44,922,3/31/2023 10:59 
271,6,Balinda Stonehearth,1,55.44,922,3/31/2023 10:59 
272,6,Barbaric Sorceress,2,55.44,922,3/31/2023 10:59 
273,6,Grey Sage Parrot,2,55.44,922,3/31/2023 10:59 
274,7,Magister Dawngrasp,1,55.44,922,3/31/2023 10:59 
275,8,Mordresh Fire Eye,1,55.44,922,3/31/2023 10:59 
276,9,Rune of the Archmage,2,55.44,922,3/31/2023 10:59 
277,10,Drakefire Amulet,2,55.44,922,3/31/2023 10:59 
278,1,Arms Dealer,2,55.39,178,3/31/2023 10:59 
279,1,Body Bagger,2,55.39,178,3/31/2023 10:59 
280,1,Foul Egg,2,55.39,178,3/31/2023 10:59 
281,1,Skeletal Sidekick,2,55.39,178,3/31/2023 10:59 
282,2,Amalgam of the Deep,2,55.39,178,3/31/2023 10:59 
283,2,Astalor Bloodsworn,1,55.39,178,3/31/2023 10:59 
284,2,Battlefield Necromancer,2,55.39,178,3/31/2023 10:59 
285,2,Plague Strike,2,55.39,178,3/31/2023 10:59 
286,3,Blightfang,1,55.39,178,3/31/2023 10:59 
287,3,Construct Quarter,1,55.39,178,3/31/2023 10:59 
288,3,Hawkstrider Rancher,2,55.39,178,3/31/2023 10:59 
289,3,Nerubian Vizier,2,55.39,178,3/31/2023 10:59 
290,4,Grave Strength,2,55.39,178,3/31/2023 10:59 
291,4,Nerubian Swarmguard,2,55.39,178,3/31/2023 10:59 
292,4,School Teacher,2,55.39,178,3/31/2023 10:59 
293,5,Famished Fool,1,55.39,178,3/31/2023 10:59 
294,6,"Sylvanas, the Accused",1,55.39,178,3/31/2023 10:59 
295,8,Lord Marrowgar,1,55.39,178,3/31/2023 10:59 
296,1,Tracking,2,55.23,139,3/31/2023 10:59 
297,2,Dun Baldar Bunker,2,55.23,139,3/31/2023 10:59 
298,2,Explosive Trap,1,55.23,139,3/31/2023 10:59 
299,2,Freezing Trap,2,55.23,139,3/31/2023 10:59 
300,2,Ice Trap,1,55.23,139,3/31/2023 10:59 
301,2,ZOMBEEEES!!!,2,55.23,139,3/31/2023 10:59 
302,3,Harpoon Gun,2,55.23,139,3/31/2023 10:59 
303,3,Wild Spirits,2,55.23,139,3/31/2023 10:59 
304,4,Spring the Trap,2,55.23,139,3/31/2023 10:59 
305,4,Vanndar Stormpike,1,55.23,139,3/31/2023 10:59 
306,5,Imported Tarantula,2,55.23,139,3/31/2023 10:59 
307,5,Pet Collector,2,55.23,139,3/31/2023 10:59 
308,5,The Rat King,1,55.23,139,3/31/2023 10:59 
309,6,Beaststalker Tavish,1,55.23,139,3/31/2023 10:59 
310,7,Faithful Companions,1,55.23,139,3/31/2023 10:59 
311,7,Hydralodon,1,55.23,139,3/31/2023 10:59 
312,7,Lor'themar Theron,1,55.23,139,3/31/2023 10:59 
313,7,Mountain Bear,2,55.23,139,3/31/2023 10:59 
314,9,King Krush,1,55.23,139,3/31/2023 10:59 
315,9,Wing Commander Ichman,1,55.23,139,3/31/2023 10:59 
316,0,Devouring Swarm,2,55.17,370,3/31/2023 10:59 
317,1,Batty Guest,2,55.17,370,3/31/2023 10:59 
318,1,Candleshot,2,55.17,370,3/31/2023 10:59 
319,1,Irondeep Trogg,2,55.17,370,3/31/2023 10:59 
320,1,Tracking,2,55.17,370,3/31/2023 10:59 
321,2,Astalor Bloodsworn,1,55.17,370,3/31/2023 10:59 
322,2,Bloodseeker,2,55.17,370,3/31/2023 10:59 
323,2,Doggie Biscuit,2,55.17,370,3/31/2023 10:59 
324,2,Selective Breeder,2,55.17,370,3/31/2023 10:59 
325,2,Spirit Poacher,2,55.17,370,3/31/2023 10:59 
326,3,Brann Bronzebeard,1,55.17,370,3/31/2023 10:59 
327,3,Harpoon Gun,2,55.17,370,3/31/2023 10:59 
328,3,Wild Spirits,2,55.17,370,3/31/2023 10:59 
329,4,Shockspitter,2,55.17,370,3/31/2023 10:59 
330,4,Stormpike Battle Ram,2,55.17,370,3/31/2023 10:59 
331,6,Beaststalker Tavish,1,55.17,370,3/31/2023 10:59 
332,7,Hydralodon,1,55.17,370,3/31/2023 10:59 
333,0,Undying Allies,2,55.01,208,3/31/2023 10:59 
334,1,Animate Dead,2,55.01,208,3/31/2023 10:59 
335,1,Mind Sear,2,55.01,208,3/31/2023 10:59 
336,1,Shadowcloth Needle,2,55.01,208,3/31/2023 10:59 
337,1,Voidtouched Attendant,2,55.01,208,3/31/2023 10:59 
338,1,Whispers of the Deep,2,55.01,208,3/31/2023 10:59 
339,2,Astalor Bloodsworn,1,55.01,208,3/31/2023 10:59 
340,2,Incorporeal Corporal,2,55.01,208,3/31/2023 10:59 
341,3,Brittleskin Zombie,1,55.01,208,3/31/2023 10:59 
342,3,Cathedral of Atonement,2,55.01,208,3/31/2023 10:59 
343,3,Haunting Nightmare,2,55.01,208,3/31/2023 10:59 
344,3,Shadowed Spirit,2,55.01,208,3/31/2023 10:59 
345,4,Bonecaller,2,55.01,208,3/31/2023 10:59 
346,4,Grave Digging,2,55.01,208,3/31/2023 10:59 
347,4,High Cultist Basaleph,1,55.01,208,3/31/2023 10:59 
348,5,Darkbishop Benedictus,1,55.01,208,3/31/2023 10:59 
349,5,Shadow Word: Undeath,2,55.01,208,3/31/2023 10:59 
350,1,Relic of Extinction,2,54.91,178,3/31/2023 10:59 
351,1,Sigil of Alacrity,2,54.91,178,3/31/2023 10:59 
352,1,Unleash Fel,2,54.91,178,3/31/2023 10:59 
353,2,Bloodmage Thalnos,1,54.91,178,3/31/2023 10:59 
354,2,Chaos Strike,2,54.91,178,3/31/2023 10:59 
355,2,Fel Barrage,2,54.91,178,3/31/2023 10:59 
356,2,Relic Vault,2,54.91,178,3/31/2023 10:59 
357,3,Lady S'theno,1,54.91,178,3/31/2023 10:59 
358,3,Nerubian Vizier,2,54.91,178,3/31/2023 10:59 
359,3,Predation,2,54.91,178,3/31/2023 10:59 
360,3,Relic of Phantasms,2,54.91,178,3/31/2023 10:59 
361,3,Silvermoon Arcanist,1,54.91,178,3/31/2023 10:59 
362,4,Guild Trader,2,54.91,178,3/31/2023 10:59 
363,4,School Teacher,2,54.91,178,3/31/2023 10:59 
364,6,"Kurtrus, Demon-Render",1,54.91,178,3/31/2023 10:59 
365,6,Relic of Dimensions,2,54.91,178,3/31/2023 10:59 
366,8,Artificer Xy'mox,1,54.91,178,3/31/2023 10:59 
367,8,Jace Darkweaver,1,54.91,178,3/31/2023 10:59 
368,1,Arms Dealer,2,54.8,216,3/31/2023 10:59 
369,1,Body Bagger,2,54.8,216,3/31/2023 10:59 
370,1,Peasant,2,54.8,216,3/31/2023 10:59 
371,1,Skeletal Sidekick,2,54.8,216,3/31/2023 10:59 
372,2,Amalgam of the Deep,2,54.8,216,3/31/2023 10:59 
373,2,Battlefield Necromancer,2,54.8,216,3/31/2023 10:59 
374,2,Plague Strike,2,54.8,216,3/31/2023 10:59 
375,2,Vrykul Necrolyte,2,54.8,216,3/31/2023 10:59 
376,3,Blightfang,1,54.8,216,3/31/2023 10:59 
377,3,Hawkstrider Rancher,2,54.8,216,3/31/2023 10:59 
378,3,Nerubian Vizier,2,54.8,216,3/31/2023 10:59 
379,4,Grave Strength,2,54.8,216,3/31/2023 10:59 
380,4,Nerubian Swarmguard,2,54.8,216,3/31/2023 10:59 
381,4,School Teacher,2,54.8,216,3/31/2023 10:59 
382,5,Famished Fool,2,54.8,216,3/31/2023 10:59 
383,8,Lord Marrowgar,1,54.8,216,3/31/2023 10:59 
384,1,Sanguine Depths,2,54.66,91,3/31/2023 10:59 
385,1,Sunfury Champion,2,54.66,91,3/31/2023 10:59 
386,1,Warsong Envoy,2,54.66,91,3/31/2023 10:59 
387,2,Anima Extractor,2,54.66,91,3/31/2023 10:59 
388,2,Crazed Wretch,2,54.66,91,3/31/2023 10:59 
389,2,Crooked Cook,2,54.66,91,3/31/2023 10:59 
390,2,Cruel Taskmaster,2,54.66,91,3/31/2023 10:59 
391,2,Embers of Strength,2,54.66,91,3/31/2023 10:59 
392,3,Hawkstrider Rancher,2,54.66,91,3/31/2023 10:59 
393,3,Imbued Axe,2,54.66,91,3/31/2023 10:59 
394,3,Rokara,1,54.66,91,3/31/2023 10:59 
395,4,Blademaster Okani,1,54.66,91,3/31/2023 10:59 
396,4,Blademaster Samuro,1,54.66,91,3/31/2023 10:59 
397,4,Light of the Phoenix,2,54.66,91,3/31/2023 10:59 
398,4,Thori'belore,1,54.66,91,3/31/2023 10:59 
399,4,Whirling Combatant,2,54.66,91,3/31/2023 10:59 
400,6,Decimator Olgra,1,54.66,91,3/31/2023 10:59 
401,7,"Rokara, the Valorous",1,54.66,91,3/31/2023 10:59 
402,1,Batty Guest,2,54.6,114,3/31/2023 10:59 
403,1,Irondeep Trogg,2,54.6,114,3/31/2023 10:59 
404,1,Peasant,2,54.6,114,3/31/2023 10:59 
405,2,Astalor Bloodsworn,1,54.6,114,3/31/2023 10:59 
406,2,Doggie Biscuit,2,54.6,114,3/31/2023 10:59 
407,2,Frenzied Fangs,2,54.6,114,3/31/2023 10:59 
408,2,K9-0tron,2,54.6,114,3/31/2023 10:59 
409,2,Spirit Poacher,2,54.6,114,3/31/2023 10:59 
410,3,Harpoon Gun,2,54.6,114,3/31/2023 10:59 
411,3,Prince Renathal,1,54.6,114,3/31/2023 10:59 
412,3,Ramming Mount,2,54.6,114,3/31/2023 10:59 
413,3,Wild Spirits,2,54.6,114,3/31/2023 10:59 
414,4,Azsharan Saber,1,54.6,114,3/31/2023 10:59 
